remaining_lease_in_months,percentage
1188,0.96
1187,0.95965812
1186,0.959316239
1185,0.958974359
1184,0.958632479
1183,0.958290598
1182,0.957948718
1181,0.957606838
1180,0.957264957
1179,0.956923077
1178,0.956581197
1177,0.956239316
1176,0.955897436
1175,0.955555556
1174,0.955213675
1173,0.954871795
1172,0.954529915
1171,0.954188034
1170,0.953846154
1169,0.953504274
1168,0.953162393
1167,0.952820513
1166,0.952478632
1165,0.952136752
1164,0.951794872
1163,0.951452991
1162,0.951111111
1161,0.950769231
1160,0.95042735
1159,0.95008547
1158,0.94974359
1157,0.949401709
1156,0.949059829
1155,0.948717949
1154,0.948376068
1153,0.948034188
1152,0.947692308
1151,0.947350427
1150,0.947008547
1149,0.946666667
1148,0.946324786
1147,0.945982906
1146,0.945641026
1145,0.945299145
1144,0.944957265
1143,0.944615385
1142,0.944273504
1141,0.943931624
1140,0.943589744
1139,0.943247863
1138,0.942905983
1137,0.942564103
1136,0.942222222
1135,0.941880342
1134,0.941538462
1133,0.941196581
1132,0.940854701
1131,0.940512821
1130,0.94017094
1129,0.93982906
1128,0.939487179
1127,0.939145299
1126,0.938803419
1125,0.938461538
1124,0.938119658
1123,0.937777778
1122,0.937435897
1121,0.937094017
1120,0.936752137
1119,0.936410256
1118,0.936068376
1117,0.935726496
1116,0.935384615
1115,0.935042735
1114,0.934700855
1113,0.934358974
1112,0.934017094
1111,0.933675214
1110,0.933333333
1109,0.932991453
1108,0.932649573
1107,0.932307692
1106,0.931965812
1105,0.931623932
1104,0.931282051
1103,0.930940171
1102,0.930598291
1101,0.93025641
1100,0.92991453
1099,0.92957265
1098,0.929230769
1097,0.928888889
1096,0.928547009
1095,0.928205128
1094,0.927863248
1093,0.927521368
1092,0.927179487
1091,0.926837607
1090,0.926495726
1089,0.926153846
1088,0.925811966
1087,0.925470085
1086,0.925128205
1085,0.924786325
1084,0.924444444
1083,0.924102564
1082,0.923760684
1081,0.923418803
1080,0.923076923
1079,0.922735043
1078,0.922393162
1077,0.922051282
1076,0.921709402
1075,0.921367521
1074,0.921025641
1073,0.920683761
1072,0.92034188
1071,0.92
1070,0.91965812
1069,0.919316239
1068,0.918974359
1067,0.918632479
1066,0.918290598
1065,0.917948718
1064,0.917606838
1063,0.917264957
1062,0.916923077
1061,0.916581197
1060,0.916239316
1059,0.915897436
1058,0.915555556
1057,0.915213675
1056,0.914871795
1055,0.914529915
1054,0.914188034
1053,0.913846154
1052,0.913504274
1051,0.913162393
1050,0.912820513
1049,0.912478632
1048,0.912136752
1047,0.911794872
1046,0.911452991
1045,0.911111111
1044,0.910769231
1043,0.91042735
1042,0.91008547
1041,0.90974359
1040,0.909401709
1039,0.909059829
1038,0.908717949
1037,0.908376068
1036,0.908034188
1035,0.907692308
1034,0.907350427
1033,0.907008547
1032,0.906666667
1031,0.906324786
1030,0.905982906
1029,0.905641026
1028,0.905299145
1027,0.904957265
1026,0.904615385
1025,0.904273504
1024,0.903931624
1023,0.903589744
1022,0.903247863
1021,0.902905983
1020,0.902564103
1019,0.902222222
1018,0.901880342
1017,0.901538462
1016,0.901196581
1015,0.900854701
1014,0.900512821
1013,0.90017094
1012,0.89982906
1011,0.899487179
1010,0.899145299
1009,0.898803419
1008,0.898461538
1007,0.898119658
1006,0.897777778
1005,0.897435897
1004,0.897094017
1003,0.896752137
1002,0.896410256
1001,0.896068376
1000,0.895726496
999,0.895384615
998,0.895042735
997,0.894700855
996,0.894358974
995,0.894017094
994,0.893675214
993,0.893333333
992,0.892991453
991,0.892649573
990,0.892307692
989,0.891965812
988,0.891623932
987,0.891282051
986,0.890940171
985,0.890598291
984,0.89025641
983,0.88991453
982,0.88957265
981,0.889230769
980,0.888888889
979,0.888547009
978,0.888205128
977,0.887863248
976,0.887521368
975,0.887179487
974,0.886837607
973,0.886495726
972,0.886153846
971,0.885811966
970,0.885470085
969,0.885128205
968,0.884786325
967,0.884444444
966,0.884102564
965,0.883760684
964,0.883418803
963,0.883076923
962,0.882735043
961,0.882393162
960,0.882051282
959,0.881709402
958,0.881367521
957,0.881025641
956,0.880683761
955,0.88034188
954,0.88
953,0.87965812
952,0.879316239
951,0.878974359
950,0.878632479
949,0.878290598
948,0.877948718
947,0.877606838
946,0.877264957
945,0.876923077
944,0.876581197
943,0.876239316
942,0.875897436
941,0.875555556
940,0.875213675
939,0.874871795
938,0.874529915
937,0.874188034
936,0.873846154
935,0.873504274
934,0.873162393
933,0.872820513
932,0.872478632
931,0.872136752
930,0.871794872
929,0.871452991
928,0.871111111
927,0.870769231
926,0.87042735
925,0.87008547
924,0.86974359
923,0.869401709
922,0.869059829
921,0.868717949
920,0.868376068
919,0.868034188
918,0.867692308
917,0.867350427
916,0.867008547
915,0.866666667
914,0.866324786
913,0.865982906
912,0.865641026
911,0.865299145
910,0.864957265
909,0.864615385
908,0.864273504
907,0.863931624
906,0.863589744
905,0.863247863
904,0.862905983
903,0.862564103
902,0.862222222
901,0.861880342
900,0.861538462
899,0.861196581
898,0.860854701
897,0.860512821
896,0.86017094
895,0.85982906
894,0.859487179
893,0.859145299
892,0.858803419
891,0.858461538
890,0.858119658
889,0.857777778
888,0.857435897
887,0.857094017
886,0.856752137
885,0.856410256
884,0.856068376
